id,feature,status,entry
TXT-01,Collapse repeated ordinary spaces,tested-subset,rules.plan_author_text; ooxml.bind/prepare/apply_batch
TXT-02,Trim trailing ordinary spaces,unimplemented,
TXT-03,Punctuation spacing,unimplemented,
TXT-04,Nonbreaking lexical spaces,unimplemented,
TXT-05,Em-dash spacing,unimplemented,
TXT-06,Hyphen/double-hyphen to em dash,unimplemented,
TXT-07,Smart quotation delimiters,unimplemented,
TXT-08,Apostrophe typography,unimplemented,
TXT-09,Final-s possessive,unimplemented,
TXT-10,Quotation comma/period placement,selected,rules.quote_separator
TXT-11,Footnote-marker punctuation,unimplemented,
TXT-12,Oxford-comma proposals,unimplemented,
TXT-13,Ellipsis typography,unimplemented,
TXT-14,Question/exclamation scope,unimplemented,
NUM-01,Written date to day-month-year,tested-subset,rules.plan_author_text; citations._date; ooxml.prepare
NUM-02,Ambiguous or invalid dates,tested-subset,rules.plan_author_text; citations._date
NUM-03,Percent in prose,tested-subset,rules.plan_author_text; ooxml.prepare
NUM-04,One through ten in words,selected,rules.selected_number(role=count)
NUM-05,Cardinals above ten as figures,partial,rules.selected_number(role=count)
NUM-06,Sentence-initial number,unimplemented,
NUM-07,Thousands separators,selected,rules.selected_number(role=count)
NUM-08,Unit spacing,unimplemented,
NUM-09,Prose ordinals,selected,rules.selected_number(role=ordinal)
NUM-10,Full-year spans,unimplemented,
NUM-11,Ordinary prose ranges,selected,rules.selected_number(role=count-range)
NUM-12,Prose ratios,selected,rules.selected_number(role=ratio)
NUM-13,Prose fractions,unimplemented,
NUM-14,Known currency display,unimplemented,
NUM-15,Equation operator spacing,unimplemented,
LEX-01,Toward,tested-subset,rules.plan_author_text; ooxml.scan/bind/prepare
LEX-02,Judgment,tested-subset,rules.plan_author_text; ooxml.scan/bind/prepare
LEX-03,Case law,tested-subset,rules.plan_author_text; ooxml.scan/bind/prepare
LEX-04,ALR spelling lexicon,tested-subset,rules.plan_author_text; ooxml.scan/bind/prepare
LEX-05,Noun/verb spelling choices,unimplemented,
LEX-06,Compound-word choices,unimplemented,
LEX-07,Article self-reference,unimplemented,
LEX-08,And/or decision,unimplemented,
LEX-09,Quebec accent policy,unimplemented,
ENT-01,Prose section/article/rule expansion,selected,rules.selected_legal_reference
ENT-02,Nested section naming,selected,rules.selected_legal_reference
ENT-03,Judge-office expansion,unimplemented,
ENT-04,Court abbreviation expansion,unimplemented,
ENT-05,Supreme Court referent review,unimplemented,
ENT-06,First and subsequent author mentions,unimplemented,
ENT-07,Honorific normalization,unimplemented,
ENT-08,Name initials,unimplemented,
ENT-09,Acronym introduction/first-use audit,unimplemented,
ENT-10,Prose e.g./i.e./etc expansion,unimplemented,
ENT-11,US/UK/UN first-use policy,unimplemented,
